interviewID,socialclass,age3g,opportunities,morescience_lowfaith,right_wrong,science_not_important,better_of_ worse_of,partyvotefor,sex
840071001,5,2,-2,-2,-2,-2,-2,840002,2
840071002,3,2,-2,-2,-2,-2,-2,840005,2
840071003,5,2,1,1,10,10,-1,-1,2
840071004,3,2,1,10,1,5,1,840005,2
840071005,3,1,4,5,5,5,1,840001,2
840071006,5,1,1,1,1,1,1,840005,1
840071007,3,2,1,1,1,10,1,840006,1
840071008,3,3,6,4,6,1,1,840002,2
840071009,4,1,1,10,10,5,1,840004,2
840071010,5,3,10,10,10,10,1,840002,1
840071011,3,2,-1,10,-1,1,1,840001,2
840071012,4,1,1,10,10,10,1,840005,1
840071013,4,2,3,1,6,6,1,840001,2
840071014,3,2,10,10,9,2,1,840002,2
840071015,5,1,3,5,4,3,1,840002,2
840071016,4,1,5,1,3,7,1,840005,2
840071017,2,2,7,10,8,8,1,840002,2
840071018,4,3,4,10,3,1,1,840002,2
840071019,3,3,10,10,1,1,1,840002,1
840071020,5,1,1,1,5,7,1,840001,1
840071021,2,2,10,10,1,1,2,840001,2
840071022,3,2,5,5,6,1,2,840006,1
840071023,3,3,6,9,5,8,3,840002,2
840071024,2,2,3,7,6,6,3,840005,2
840071025,3,1,2,9,5,2,3,840001,1
840071026,3,2,4,5,1,5,4,840001,1
840071027,4,2,5,5,5,4,4,840002,2
840071028,3,1,7,6,7,8,4,840005,2
840071029,5,2,6,3,7,4,4,840001,2
840071030,4,2,5,5,6,7,4,840001,2
840071031,4,2,4,6,6,3,4,840005,1
840071032,3,1,5,3,3,3,4,840005,1
840071033,4,1,8,5,5,5,5,840002,1
840071034,3,2,5,5,3,1,5,840005,2
840071035,3,1,9,4,7,2,5,840005,1
840071036,3,1,5,10,8,4,5,840002,2
840071037,5,3,10,10,10,4,5,840005,2
840071038,4,2,4,3,6,4,5,840005,1
840071039,2,2,5,5,5,5,5,840001,1
840071040,5,2,5,5,5,5,5,840002,2
840071041,5,1,6,5,1,1,5,840004,2
840071042,3,2,5,5,5,5,5,840005,1
840071043,2,3,2,8,10,5,5,840001,1
840071044,5,2,10,1,4,1,5,840002,2
840071045,5,1,7,7,8,2,5,840005,2
840071046,3,2,5,3,3,1,5,840002,2
840071047,3,3,7,5,6,7,5,840001,2
840071048,5,2,5,5,5,5,5,840005,2
840071049,3,1,6,5,6,-2,5,840001,2
840071050,4,3,4,5,1,7,5,-2,1
840071051,2,3,1,10,1,10,5,840005,2
840071052,3,3,7,9,8,4,5,-2,1
840071053,5,2,8,5,5,10,5,840005,1
840071054,2,2,5,5,5,5,5,840002,1
840071055,3,1,5,5,5,5,5,-2,2
840071056,4,2,10,1,5,5,5,840002,1
840071057,2,1,5,5,5,5,5,-2,2
840071058,3,1,1,10,6,4,5,840006,2
840071059,3,2,3,7,9,9,5,840004,2
840071060,-2,1,7,10,5,5,5,840002,2
840071061,5,3,10,1,7,10,5,840005,2
840071062,5,2,6,10,5,7,5,840002,1
840071063,3,2,7,5,5,10,5,840002,1
840071064,5,1,5,5,5,5,5,840005,2
840071065,2,3,7,7,5,4,5,840002,2
840071066,3,1,3,9,10,7,5,840005,2
840071067,3,2,5,5,1,5,5,840002,1
840071068,3,1,5,5,5,5,5,840005,2
840071069,3,1,5,5,5,5,5,840005,2
840071070,2,1,10,3,7,5,5,840002,2
840071071,5,1,1,1,1,1,6,840005,2
840071072,5,3,3,9,7,7,6,840005,1
840071073,3,1,6,6,6,6,6,840002,1
840071074,3,1,5,5,5,3,6,840006,2
840071075,4,3,6,6,6,6,6,840005,2
840071076,5,1,6,6,6,6,6,840005,1
840071077,3,2,7,3,6,7,6,840005,1
840071078,5,2,4,5,6,5,6,840002,2
840071079,2,1,7,1,3,7,6,840001,2
840071080,4,2,7,6,5,8,6,840002,2
840071081,2,2,10,5,5,5,6,840005,1
840071082,5,1,7,7,5,6,6,840005,2
840071083,5,3,6,10,6,10,6,840002,1
840071084,3,1,8,3,4,5,6,840005,1
840071085,2,2,6,4,2,3,6,840002,2
840071086,4,2,3,3,3,7,6,840004,2
840071087,3,2,6,7,4,1,7,840002,1
840071088,4,2,6,6,5,3,7,840001,2
840071089,4,2,5,5,5,1,7,840005,1
840071090,5,3,8,5,9,7,7,840001,2
840071091,4,2,1,9,8,3,7,840002,2
840071092,5,2,7,10,4,6,7,840002,2
840071093,3,1,9,1,1,1,7,840002,2
840071094,4,2,8,4,1,1,7,840005,2
840071095,3,3,6,3,4,3,7,840002,2
840071096,4,2,8,5,7,10,7,840001,1
840071097,5,2,7,7,7,7,7,840002,2
840071098,3,1,9,7,7,7,7,840001,2
840071099,3,2,3,8,7,3,7,840001,2
840071100,3,2,6,8,9,5,7,840005,1
840071101,2,2,8,5,6,4,7,840001,1
840071102,2,2,1,1,1,6,7,840001,1
840071103,4,3,6,6,8,8,8,840001,2
840071104,3,2,7,1,1,3,8,840005,1
840071105,2,2,5,2,9,4,8,840002,1
840071106,4,3,7,3,6,3,8,840001,2
840071107,3,2,7,7,7,8,8,840002,1
840071108,3,2,6,8,8,3,8,840001,1
840071109,5,2,4,3,3,5,8,840005,2
840071110,5,2,9,9,9,9,9,840002,2
840071111,5,1,10,1,1,4,9,840002,1
840071112,2,1,1,1,1,1,9,840005,1
840071113,-2,1,8,1,8,8,9,-2,2
840071114,3,1,10,1,1,1,10,840004,1
840071115,3,3,5,1,1,1,10,840002,1
840071116,2,3,7,1,7,1,10,840002,2
840071117,3,2,10,1,1,10,10,840002,1
840071118,4,2,1,1,5,1,10,840002,1
840071119,4,2,10,1,1,1,10,840002,1
840071120,4,1,10,1,1,1,10,840001,1
840071121,5,1,10,1,1,1,10,840005,2
840071122,2,3,10,1,1,1,10,-2,1
840071123,4,2,8,9,10,7,10,840005,1
840071124,4,2,10,1,1,1,10,840005,2
840071125,4,2,10,10,1,1,10,840005,1
840071126,5,3,1,-1,10,1,10,840002,2
840071127,3,1,10,1,1,1,10,840002,2
840071128,3,2,10,10,10,1,10,840002,2
840071129,5,2,10,3,1,1,10,840002,1
840071130,3,3,10,1,1,1,10,840002,1
840071131,4,3,2,2,1,2,10,840002,2
840071132,5,1,7,9,5,4,10,840005,1
840071133,2,3,6,10,10,10,10,840005,1
840071134,4,1,10,5,5,5,10,840005,2
840071135,5,2,10,1,1,6,10,840002,1
840071136,3,2,10,1,1,1,10,840002,2
840071137,3,1,10,1,1,1,10,840002,2
840071138,4,1,8,6,9,5,10,840002,2
840071139,3,2,5,1,3,1,10,-2,1
840071140,5,1,10,2,2,1,10,840005,1
840071141,4,2,10,5,5,7,10,-2,1
840071142,3,3,10,1,3,3,10,840004,1
840071143,4,2,10,1,1,1,10,840006,2
840071144,3,2,10,5,1,1,10,840005,2
840071145,4,2,8,9,3,2,10,840002,1
840071146,4,1,4,1,8,3,10,840005,1
840071147,3,3,-2,-2,-2,-2,-2,840001,1
840071148,3,1,6,-2,-2,4,-2,840002,2
840071149,4,1,8,4,7,-2,-2,840002,2
840071150,2,1,8,7,8,7,-2,840006,2
840071151,3,2,2,8,5,1,1,840002,1
840071152,4,3,4,10,5,7,1,840005,1
840071153,4,2,7,5,1,5,1,840005,2
840071154,4,1,6,8,9,2,1,840004,2
840071155,5,2,10,1,1,7,1,840002,2
840071156,3,2,5,10,10,1,1,840002,2
840071157,4,1,6,10,8,7,1,840005,2
840071158,3,2,1,5,6,7,1,840001,1
840071159,5,2,5,5,10,1,1,840001,1
840071160,4,1,1,5,5,4,1,840005,1
840071161,4,2,1,10,10,1,1,840005,2
840071162,3,1,10,10,10,10,1,840002,2
840071163,2,1,6,1,6,8,1,840004,2
840071164,2,1,6,3,6,3,2,840004,2
840071165,2,2,10,10,4,1,2,840002,2
840071166,2,2,8,8,7,9,2,840004,2
840071167,3,2,7,7,5,7,2,840002,2
840071168,4,1,6,8,6,4,3,840002,2
840071169,2,2,7,5,5,7,3,840006,1
840071170,4,1,2,1,9,2,3,840004,2
840071171,3,2,8,8,2,2,3,840004,1
840071172,3,2,4,7,5,4,3,840001,2
840071173,4,1,3,2,9,1,3,840002,2
840071174,3,2,8,7,6,6,3,840001,1
840071175,4,1,10,1,9,6,3,840002,2
840071176,4,1,9,7,5,5,3,840002,2
840071177,2,2,9,4,5,4,3,840001,2
840071178,4,2,5,5,3,10,3,840001,1
840071179,4,3,4,1,2,5,3,840001,2
840071180,4,3,8,9,4,1,3,840002,1
840071181,5,2,2,9,3,9,3,840005,2
840071182,4,2,5,10,9,7,3,840002,2
840071183,4,1,10,5,6,4,3,840002,2
840071184,3,1,6,6,4,7,3,840001,2
840071185,5,1,10,10,5,5,3,840002,2
840071186,2,2,3,8,5,6,3,840002,2
840071187,3,1,7,8,4,4,4,840002,2
840071188,3,2,6,4,5,7,4,840004,2
840071189,5,2,10,2,3,1,4,840002,1
840071190,2,1,7,10,10,1,4,840002,2
840071191,4,3,6,7,6,4,4,840005,2
840071192,4,3,8,6,5,6,4,840005,2
840071193,3,1,4,6,5,4,4,840005,1
840071194,3,2,3,9,3,4,4,840006,1
840071195,2,2,7,5,5,6,4,840005,2
840071196,4,1,5,5,5,3,4,840002,2
840071197,2,1,10,1,1,1,4,840006,1
840071198,3,2,4,6,8,8,4,840005,1
840071199,4,2,9,4,8,9,4,840002,2
840071200,4,2,3,8,9,2,4,840006,1
840071201,5,1,5,5,4,4,4,840002,2
840071202,2,1,9,4,4,3,4,840004,2
840071203,4,1,5,5,5,6,4,840005,1
840071204,3,1,5,6,-2,4,4,840004,2
840071205,3,2,3,5,5,4,4,840001,1
840071206,2,3,3,10,4,5,4,-2,1
840071207,3,1,10,7,1,1,4,840002,2
840071208,4,3,3,5,5,1,4,840001,2
840071209,4,1,8,4,5,5,4,840002,2
840071210,3,2,3,4,3,5,4,840005,2
840071211,3,2,6,7,10,6,4,840002,2
840071212,4,1,8,7,7,7,5,840002,1
840071213,5,1,7,7,1,6,5,840004,2
840071214,2,1,10,7,8,1,5,840001,2
840071215,3,1,9,8,8,8,5,840002,2
840071216,4,1,5,5,7,5,5,840002,2
840071217,3,2,4,5,5,5,5,840004,1
840071218,4,3,5,7,7,5,5,840006,2
840071219,5,1,5,9,8,5,5,840001,2
840071220,3,1,5,5,10,5,5,840002,2
840071221,2,2,5,5,5,5,5,840002,2
840071222,4,1,5,5,7,7,5,840002,2
840071223,3,1,7,4,3,7,5,840001,1
840071224,4,2,8,6,6,-2,5,840005,2
840071225,2,2,9,7,7,7,5,840002,2
840071226,2,1,2,7,8,3,5,840002,2
840071227,3,1,6,7,5,5,5,840001,2
840071228,2,1,4,5,3,3,5,840002,2
840071229,4,2,5,5,5,5,5,840005,1
840071230,3,2,5,5,5,5,5,840005,2
840071231,2,2,4,5,6,5,5,840004,2
840071232,3,1,5,5,5,5,5,840002,2
840071233,3,2,6,4,5,1,5,840002,2
840071234,5,1,5,10,6,10,5,840001,2
840071235,3,1,7,7,5,5,5,840002,2
840071236,3,3,6,10,5,5,5,840001,2
840071237,3,2,5,5,5,5,5,840005,2
840071238,3,1,5,5,5,5,5,840002,1
840071239,3,2,8,7,6,4,5,840002,1
840071240,3,3,7,6,6,6,5,-2,2
840071241,3,2,5,6,5,5,5,840002,2
840071242,5,2,5,5,5,5,5,840002,2
840071243,3,2,4,5,4,5,5,840004,2
840071244,3,2,7,7,6,7,5,840004,2
840071245,3,1,5,10,5,10,5,840001,2
840071246,4,1,5,7,6,5,5,840004,2
840071247,3,2,10,5,5,5,5,840005,2
840071248,4,1,5,5,5,5,5,840001,2
840071249,3,1,5,5,5,5,5,840002,2
840071250,5,1,4,6,6,4,5,840005,2
840071251,3,2,4,10,5,8,5,840002,1
840071252,4,1,9,1,5,2,5,840002,2
840071253,5,1,5,5,4,5,5,840005,2
840071254,5,1,5,5,5,5,5,840001,2
840071255,5,2,6,6,6,7,5,840005,2
840071256,5,2,7,8,5,5,5,840002,1
840071257,2,2,4,10,4,4,5,840002,2
840071258,3,1,5,5,5,5,5,840002,2
840071259,3,3,4,10,5,3,5,840002,2
840071260,3,2,9,10,9,10,5,840004,2
840071261,4,1,4,4,5,4,5,840002,2
840071262,3,1,5,5,5,5,5,840005,2
840071263,3,2,2,9,5,5,5,840005,2
840071264,5,2,2,1,5,4,5,840005,2
840071265,4,3,1,10,10,1,5,-2,2
840071266,4,3,3,7,5,4,5,840001,2
840071267,4,2,5,5,5,5,5,840002,2
840071268,4,2,5,5,5,5,5,840006,2
840071269,4,1,4,4,3,7,5,840005,2
840071270,3,1,5,8,4,5,5,840004,1
840071271,4,2,10,1,1,1,5,840005,1
840071272,3,3,3,5,1,3,5,840001,1
840071273,3,1,10,7,5,1,5,840001,2
840071274,4,1,4,7,5,4,5,840002,2
840071275,2,2,5,6,7,7,5,840002,2
840071276,2,2,4,7,5,2,5,840002,2
840071277,2,1,6,7,5,5,5,840002,2
840071278,2,2,10,10,10,4,5,840005,2
840071279,2,2,7,6,5,7,5,840002,1
840071280,4,1,5,5,5,5,5,840006,2
840071281,4,2,5,5,6,5,5,840005,1
840071282,4,1,8,4,5,5,5,840005,1
840071283,4,3,5,8,5,2,5,840001,1
840071284,4,1,5,5,5,5,5,840005,2
840071285,2,2,8,3,4,3,5,840005,1
840071286,5,1,3,10,8,10,5,840005,2
840071287,4,2,5,5,5,5,5,840002,2
840071288,3,2,7,5,5,6,5,840001,2
840071289,3,2,5,5,5,5,5,840005,2
840071290,5,2,8,5,5,8,5,840002,2
840071291,4,1,5,5,5,5,5,840002,1
840071292,3,1,5,5,5,6,5,840005,2
840071293,3,2,10,10,6,7,5,840002,2
840071294,3,2,5,5,5,5,5,-2,1
840071295,4,2,6,10,5,5,5,840005,2
840071296,4,2,10,10,1,5,5,840005,1
840071297,5,2,10,7,4,4,6,840001,2
840071298,1,1,5,5,6,6,6,840006,2
840071299,4,2,6,4,6,2,6,840005,1
840071300,4,3,8,9,8,1,6,840005,2
840071301,3,2,5,4,5,7,6,840005,2
840071302,5,2,5,8,5,2,6,840002,2
840071303,4,1,5,10,10,9,6,840005,2
840071304,4,1,5,1,4,1,6,840005,2
840071305,3,1,8,6,6,6,6,840001,2
840071306,4,2,6,1,5,2,6,840005,2
840071307,3,2,6,6,6,6,6,840002,1
840071308,4,3,10,1,4,1,6,840002,2
840071309,4,2,8,5,6,5,6,840001,2
840071310,3,1,6,6,5,5,6,840005,1
840071311,5,3,5,2,3,2,6,840002,2
840071312,4,1,6,5,5,5,6,840002,2
840071313,5,1,3,1,7,4,6,840002,2
840071314,3,3,8,1,7,5,6,840001,1
840071315,3,2,4,5,6,4,6,840001,1
840071316,3,2,5,10,10,6,6,840005,2
840071317,5,2,2,5,10,8,6,840005,2
840071318,2,2,8,5,1,2,6,840004,2
840071319,4,3,6,9,6,6,6,840004,2
840071320,4,2,-2,6,6,6,6,840005,2
840071321,4,3,1,6,5,10,6,840001,1
840071322,2,1,7,3,4,4,6,840004,2
840071323,5,3,9,2,4,1,6,840005,2
840071324,3,3,8,10,10,10,6,840005,2
840071325,3,1,9,9,7,3,6,840005,1
840071326,4,2,7,4,5,5,6,840001,2
840071327,4,2,6,6,2,1,6,840004,2
840071328,3,1,8,2,2,4,6,840002,2
840071329,4,3,9,6,4,3,6,840002,1
840071330,4,1,6,8,5,4,6,840002,2
840071331,4,1,-2,3,5,5,6,840002,2
840071332,4,2,6,10,6,3,6,840002,2
840071333,4,1,4,7,9,2,6,840002,2
840071334,3,1,4,10,7,5,6,840002,1
840071335,3,1,6,3,5,5,6,840005,1
840071336,3,3,7,9,8,5,6,840002,2
840071337,3,1,9,6,1,1,6,840002,2
840071338,2,1,7,9,9,6,6,840004,2
840071339,5,1,4,3,2,5,6,840002,1
840071340,1,1,6,6,6,6,6,840005,2
840071341,3,2,6,8,7,6,6,840002,2
840071342,2,2,5,6,10,1,6,840002,2
840071343,4,2,6,5,5,4,6,840002,2
840071344,3,3,7,6,6,8,6,840002,1
840071345,3,2,9,5,6,9,7,840002,2
840071346,2,2,5,1,7,4,7,840001,1
840071347,4,1,5,7,5,5,7,840006,2
840071348,4,2,8,5,5,8,7,840002,1
840071349,3,3,7,6,5,2,7,840005,1
840071350,3,1,7,10,8,9,7,840005,2
840071351,3,2,5,5,4,6,7,840001,2
840071352,3,2,3,10,5,6,7,840005,1
840071353,5,1,4,2,3,3,7,840005,1
840071354,4,2,10,10,10,5,7,840002,2
840071355,-2,1,6,6,6,3,7,840002,2
840071356,3,2,10,10,6,7,7,840002,2
840071357,4,2,9,1,1,6,7,840005,2
840071358,3,2,7,10,8,1,7,840005,2
840071359,2,2,4,1,3,2,7,840006,2
840071360,3,2,5,4,4,6,7,840002,2
840071361,2,3,8,9,5,3,7,840001,2
840071362,2,2,2,9,5,5,7,840002,2
840071363,3,1,7,9,4,3,7,840001,2
840071364,4,1,8,5,5,1,7,840001,1
840071365,4,2,7,4,4,5,7,840001,1
840071366,5,2,6,10,6,3,7,840002,2
840071367,4,1,7,9,7,3,7,840005,1
840071368,3,2,6,3,5,1,7,840002,2
840071369,2,2,9,4,10,2,7,840001,2
840071370,5,3,5,5,4,3,7,840002,1
840071371,4,1,5,1,5,5,7,840005,1
840071372,4,3,7,8,7,7,7,840001,2
840071373,5,1,7,3,7,5,7,840002,1
840071374,4,2,5,1,1,8,7,840001,1
840071375,2,2,8,7,6,7,7,840001,1
840071376,4,2,5,5,4,4,7,840005,2
840071377,4,3,8,10,7,6,7,840001,2
840071378,3,3,8,9,8,10,7,840005,2
840071379,3,1,5,6,5,5,7,840001,1
840071380,4,2,4,8,5,1,7,840002,2
840071381,4,2,6,5,3,4,7,-2,1
840071382,3,1,7,5,8,2,7,-2,1
840071383,2,3,8,5,4,6,7,840001,2
840071384,3,2,5,5,3,5,7,840005,1
840071385,4,1,7,1,2,6,7,840005,2
840071386,1,2,5,8,5,7,7,840001,1
840071387,3,3,3,4,3,2,7,840002,1
840071388,3,1,5,1,1,1,7,840004,1
840071389,2,2,8,6,5,7,7,840002,2
840071390,4,1,8,7,7,7,7,840004,1
840071391,3,1,10,1,1,1,7,840002,1
840071392,4,1,6,4,4,8,7,840005,1
840071393,3,2,5,3,5,7,7,840005,2
840071394,3,1,1,8,7,4,7,840002,2
840071395,5,1,9,7,7,2,7,840002,2
840071396,4,2,10,3,7,7,8,-2,2
840071397,3,1,7,3,4,7,8,840005,2
840071398,3,1,8,1,5,3,8,840005,2
840071399,3,1,8,1,1,1,8,840004,2
840071400,4,3,7,5,4,6,8,840002,1
840071401,3,2,7,8,5,4,8,840001,2
840071402,4,1,6,1,3,4,8,840002,1
840071403,2,1,4,2,5,1,8,840004,1
840071404,3,1,4,2,3,1,8,840001,1
840071405,3,2,3,2,5,3,8,840005,1
840071406,2,2,8,10,5,1,8,840001,1
840071407,3,3,6,8,1,1,8,-2,1
840071408,3,1,8,2,4,1,8,840002,2
840071409,4,1,6,1,1,10,8,840002,2
840071410,4,1,10,1,1,1,8,840005,2
840071411,2,2,7,2,2,3,8,840004,2
840071412,3,1,9,6,5,4,8,840002,2
840071413,4,2,7,10,10,6,8,840001,2
840071414,3,2,8,1,1,1,8,840005,2
840071415,3,3,5,4,4,3,8,840001,1
840071416,5,1,8,8,8,8,8,840006,1
840071417,3,2,4,5,1,4,8,840001,1
840071418,4,2,8,8,8,9,8,840002,2
840071419,4,1,8,4,6,1,8,840002,2
840071420,2,2,8,7,6,4,8,840002,2
840071421,2,3,9,1,3,1,8,840002,1
840071422,-2,2,8,9,5,3,8,840005,1
840071423,3,2,8,4,1,5,8,840002,2
840071424,2,2,10,1,5,5,8,840002,2
840071425,3,2,5,7,6,1,8,840001,1
840071426,4,2,1,6,7,10,8,840002,1
840071427,2,2,4,1,5,2,8,840001,1
840071428,4,2,10,1,7,3,8,840001,1
840071429,4,2,7,7,6,3,8,840002,1
840071430,4,2,8,9,7,5,8,840002,2
840071431,3,2,8,7,6,4,8,840002,2
840071432,3,3,9,6,7,5,8,840002,2
840071433,3,2,7,5,7,4,8,840002,2
840071434,4,3,7,10,7,5,8,840002,2
840071435,3,2,5,9,5,4,8,840002,1
840071436,3,1,5,2,6,8,8,840006,1
840071437,3,1,10,1,1,1,8,840002,1
840071438,2,2,7,3,2,5,8,840002,2
840071439,3,1,9,7,7,2,8,840001,1
840071440,3,3,8,8,8,8,8,840002,1
840071441,5,2,8,6,8,2,8,840002,1
840071442,3,3,7,10,5,9,8,840005,2
840071443,4,2,5,6,5,10,8,840002,1
840071444,2,3,10,10,7,5,8,840005,2
840071445,1,2,5,7,8,8,8,840005,2
840071446,2,3,4,8,8,7,8,840004,1
840071447,4,2,9,2,2,2,9,840006,1
840071448,3,1,10,2,5,1,9,840001,1
840071449,4,1,7,1,3,2,9,840002,1
840071450,3,2,8,7,5,7,9,840002,2
840071451,3,1,8,1,1,1,9,840005,2
840071452,2,1,10,3,3,3,9,840001,2
840071453,3,1,10,1,1,1,9,840005,2
840071454,5,1,7,2,6,4,9,840005,1
840071455,5,2,8,4,3,6,9,840002,2
840071456,4,2,10,1,5,4,9,840002,2
840071457,4,2,9,5,2,2,9,840005,1
840071458,4,2,8,2,3,3,9,840005,2
840071459,2,2,8,4,7,2,9,840001,2
840071460,2,2,9,6,4,2,9,840002,1
840071461,3,2,8,4,3,3,9,840004,2
840071462,5,2,10,10,6,1,9,840002,1
840071463,3,1,10,5,3,3,9,840005,1
840071464,3,3,10,7,10,3,9,840001,1
840071465,3,1,3,7,10,3,9,840004,2
840071466,3,2,8,1,1,4,9,840002,2
840071467,2,2,10,1,1,7,9,840001,1
840071468,3,1,8,6,5,4,9,840005,2
840071469,4,2,10,10,9,9,9,840002,1
840071470,2,1,10,1,1,1,10,840002,2
840071471,5,2,10,1,1,10,10,840002,1
840071472,4,3,8,1,1,1,10,840005,2
840071473,3,2,10,10,10,10,10,840002,1
840071474,3,2,8,10,5,5,10,840002,1
840071475,1,1,5,6,10,7,10,840001,1
840071476,4,1,10,1,4,1,10,840002,1
840071477,2,1,10,3,4,1,10,840002,1
840071478,2,1,10,1,1,1,10,840001,1
840071479,3,3,8,1,5,1,10,840002,1
840071480,5,1,10,1,1,1,10,840006,2
840071481,3,2,10,1,1,1,10,840006,2
840071482,3,2,10,1,1,1,10,840006,1
840071483,4,2,4,1,2,1,10,840006,1
840071484,2,2,6,5,5,3,10,840005,1
